stationid	stationname	province	latitude	longitude	start_dt	end_dt
1305	MOUL CREEK CLEARWATER	BC	51.87	-120.02	1963-11-01	1967-05-31
1308	100 MILE HOUSE	BC	51.65	-121.3	1970-05-07	1999-11-30
1309	100 MILE HOUSE 6NE	BC	51.68	-121.22	1987-06-18	2023-01-30
1313	RED LAKE	BC	50.94	-120.8	1974-05-29	2021-06-04
1314	RED LAKE 2	BC	50.9	-120.77	1979-11-01	1985-05-31
1321	70 MILE HOUSE	BC	51.3	-121.4	1974-05-01	1987-06-30
1324	SHUSWAP FALLS	BC	50.3	-118.82	1930-01-01	1972-08-31
1325	SICAMOUS	BC	50.8	-119.0	1954-08-16	1979-04-30
1326	SICAMOUS 2	BC	50.85	-118.98	1979-11-06	1994-10-31
1328	SORRENTO	BC	50.88	-119.48	1924-01-01	1979-08-31
1332	SUGAR LAKE	BC	50.33	-118.53	1957-12-01	1964-11-23
1333	TAPPEN	BC	50.75	-119.33	1913-01-01	1961-12-31
1334	TAPPEN FORD ROAD	BC	50.8	-119.3	1962-07-28	1966-10-31
1335	TAPPEN NORTH	BC	50.8	-119.3	1970-10-01	1970-10-31
1336	TAPPEN TULARI FARM	BC	50.67	-119.3	1966-11-01	1967-02-28
1350	BOBBIE BURNS	BC	50.95	-116.93	1981-02-01	2001-12-31
1354	CANOE RIVER	BC	52.73	-119.38	1971-09-16	1975-10-31
1368	PARSON COLUMBIA MINES	BC	50.95	-116.98	1970-10-01	1973-12-31
1374	ROGERS PASS	BC	51.3	-117.52	1957-11-01	1960-04-30
1375	SIDMOUTH	BC	50.78	-118.02	1947-05-01	1961-08-31
1388	FORT ST JOHN 8NW	BC	56.25	-121.03	1988-07-01	2007-11-30
1398	CHARLIE LAKE	BC	56.3	-121.02	1988-10-01	2017-12-31
1406	DENISON PLANT SITE	BC	55.0	-121.03	1982-07-01	1998-05-31
1407	DENISON SHERIFF	BC	55.07	-121.12	1981-07-30	1982-06-30
1413	FORT ST JOHN A	BC	56.24	-120.74	1953-01-01	2012-12-06
1414	FORT ST JOHN PINEVIEW	BC	56.32	-120.82	1960-08-01	1963-04-30
1428	NORTH PINE CDA EPF	BC	56.43	-120.78	1953-03-01	1963-08-31
1429	PINE PASS MT LEMORAY	BC	55.54	-122.48	1974-11-01	2004-12-31
1430	PINK MOUNTAIN 2	BC	57.03	-122.52	1982-09-04	1990-08-31
1431	PINE PASS	BC	55.35	-122.6	1962-10-01	1981-11-30
1432	PINK MOUNTAIN	BC	57.0	-122.37	1973-07-20	1982-08-15
1435	PRESPATOU	BC	56.92	-121.03	1982-09-01	1989-02-28
1437	ROLLA	BC	55.92	-120.07	1971-06-01	1990-12-31
1438	ROLLA GOLATA CREEK	BC	56.13	-120.13	1960-07-22	1964-10-31
1446	WARE	BC	57.43	-125.63	1966-10-01	1987-09-09
1450	BUCKINGHORSE RIVER	BC	57.38	-122.87	1973-08-13	1977-10-31
1453	CHURCHILL COPPER ONE	BC	58.45	-125.4	1974-01-01	1974-09-30
1469	MINAKER RIVER	BC	57.85	-123.03	1984-09-01	1993-12-31
1483	BOB QUINN	BC	56.98	-130.25	1974-09-16	1974-10-31
1484	BOB QUINN AGS	BC	56.97	-130.25	1977-12-01	1994-04-30
1490	EDDONTENAJON	BC	57.83	-129.98	1972-09-01	1972-10-31
1495	HYLAND POST	BC	57.65	-128.17	1964-01-15	1972-03-31
1503	NAKONAKE RIVER	BC	59.0	-133.48	1956-06-01	1956-08-31
1522	BRAEBURN	YT	61.47	-135.78	1974-05-07	1995-07-31
1523	BRANDT PEAK	YT	63.05	-140.93	1976-05-19	1978-09-30
1524	BRYN MYRDDIN FARM	YT	60.87	-135.38	1988-05-01	1996-08-31
1528	CARMACKS TOWER	YT	62.18	-136.48	1974-06-01	1976-08-26
1537	DEMPSTER 177	YT	65.88	-137.55	1973-07-28	1974-08-31
1538	DEMPSTER 179	YT	65.92	-137.52	1977-01-01	1978-10-31
1539	DEMPSTER 203	YT	66.12	-137.25	1974-08-26	1975-10-31
1540	DESTRUCTION BAY	YT	61.25	-138.78	1975-03-01	1984-09-30
1542	DRURY CREEK	YT	62.2	-134.39	1970-01-01	2009-04-30
1545	ELSA	YT	63.92	-135.48	1948-10-12	1989-06-30
1546	FARO	YT	62.35	-133.4	1966-04-01	1968-02-29
1554	HAECKEL HILL TOWER	YT	60.75	-135.22	1974-06-01	1976-08-31
1555	HAINES APPS #4	YT	60.82	-137.73	1969-12-01	1971-09-30
1558	HART RIVER	YT	64.65	-136.78	1969-03-01	1969-04-30
1560	HERSCHEL ISLAND	YT	69.57	-138.91	1994-08-01	2022-05-18
1566	KLONDIKE	YT	64.45	-138.22	1966-06-01	2010-05-31
1567	KLUANE LAKE	YT	61.02	-138.4	1946-05-15	1983-08-31
1579	MOUNTAIN VIEW LODGE	YT	61.63	-139.67	1974-07-20	1977-07-31
1585	PARKIN	YT	66.23	-137.28	1971-07-26	1973-09-20
1588	QUIET LAKE	YT	61.15	-133.07	1966-11-01	1992-09-30
1589	QUILL CREEK	YT	61.45	-139.25	1983-10-01	1985-05-31
1596	SHINGLE POINT A	YT	68.95	-137.22	1973-01-01	2023-03-08
1606	TAGISH	YT	60.3	-134.27	1979-10-01	1984-06-30
1607	TAGISH TOWER	YT	60.27	-134.18	1976-06-03	1976-08-31
1608	TAKHINI RIVER RANCH	YT	60.95	-135.57	1980-02-01	2021-05-10
1614	TWO PETE CREEK	YT	62.63	-133.7	1979-10-19	1984-04-30
1616	WHITEHORSE	YT	60.72	-135.05	1900-07-16	1960-07-31
1617	WHITEHORSE A	YT	60.71	-135.07	1953-01-01	2012-12-05
1618	WHITEHORSE RIVERDALE	YT	60.71	-135.03	1959-02-09	2012-05-13
1626	ARCTIC RED RIVER	NT	67.45	-133.73	1974-06-01	1975-08-28
1631	CADILLAC MINE	NT	61.53	-124.75	1970-01-14	1982-05-31
1639	CONTWOYTO LAKE	NU	65.48	-110.37	1959-01-01	1981-12-31
1657	FORT SIMPSON CDA	NT	61.87	-121.35	1961-04-01	1969-12-31
1660	FORT SMITH A	NT	60.02	-111.96	1953-01-01	2014-11-05
1662	HART LAKE	NT	60.85	-116.63	1974-05-18	1974-08-17
1671	LUPIN A	NU	65.76	-111.25	1982-01-01	2006-10-31
1673	JAMES CREEK	NT	67.13	-135.95	1983-12-01	1986-11-30
1687	PINE POINT	NT	60.83	-114.47	1953-08-01	1965-11-30
1688	PINE POINT	NT	60.87	-114.37	1975-11-01	1988-04-30
1695	SNOWDRIFT	NT	62.4	-110.73	1973-01-01	1974-08-31
1743	CLYDE A	NU	70.49	-68.52	1953-01-01	2008-07-28
1756	IGLOOLIK	NU	69.38	-81.8	1977-09-09	2002-12-31
1757	IGLOOLIK A	NU	69.37	-81.82	1984-09-01	2015-01-15
1760	KILLINEK	NU	60.42	-64.85	1975-09-05	1985-08-23
1761	KIVITOO	NU	67.97	-64.92	1959-08-01	1963-03-31
1763	LAKE HAZEN	NU	81.82	-71.3	1957-08-22	1963-08-21
1766	MARY RIVER	NU	71.32	-79.33	1963-05-01	1965-10-12
1783	TALOYOAK A	NU	69.55	-93.58	1984-09-01	2015-01-15
1784	WEST BAFFIN ISLAND	NU	68.62	-73.2	1959-01-01	1963-07-31
1789	ULUKHAKTOK A	NT	70.76	-117.81	1987-01-01	2010-06-28
1792	MOULD BAY A	NT	76.23	-119.33	1953-01-01	1997-03-31
1794	SACHS HARBOUR A	NT	72.0	-125.27	1955-11-01	2013-10-31
1796	EDMONTON CORONATION	AB	53.57	-113.57	1978-11-01	1979-01-31
1800	PINE RIDGE GEN	AB	54.08	-112.25	1980-12-01	1981-02-28
1801	UNIVERSITY OF ALBERTA METABOLIC CENTRE	AB	53.52	-113.53	1986-10-01	2019-04-05
1802	FALLIS	AB	53.55	-114.63	1987-06-16	1991-03-31
1806	BUCK MOUNTAIN	AB	53.03	-114.7	1967-10-14	1970-08-20
1808	ALLIANCE	AB	52.43	-111.78	1916-05-13	1982-07-31
1809	ALLIANCE GREENVIEW	AB	52.38	-111.8	1960-04-01	1962-12-17
1810	ALLIANCE SOUTH	AB	52.42	-111.78	1982-10-01	2000-10-31
1813	ARMENA	AB	53.13	-112.95	1969-06-27	1972-08-31
1831	BUCK MOUNTAIN	AB	53.02	-114.7	1939-05-01	1951-07-20
1832	CADOGAN	AB	52.27	-110.58	1965-11-01	1965-12-31
1833	CADOGAN	AB	52.25	-110.53	1980-07-22	2002-06-30
1834	DARWELL	AB	53.6	-114.58	1987-12-01	1992-06-30
1847	CHIPMAN	AB	53.7	-112.58	1954-08-01	1960-04-30
1850	CONSORT CDA EPF	AB	52.03	-110.8	1956-01-01	1975-11-30
1851	CONSORT WADES	AB	51.85	-110.77	1953-11-01	1971-02-28
1852	CONTRACOSTA LAKE	AB	51.77	-111.55	1983-06-29	2001-05-31
1853	COOKING LAKE	AB	53.43	-113.12	1985-11-11	1994-11-30
1862	EDBERG	AB	52.73	-112.78	1970-05-20	1975-08-31
1864	EDMONTON CALDER	AB	53.57	-113.52	1975-06-01	1977-03-31
1865	EDMONTON INTL A	AB	53.32	-113.58	1961-01-01	2012-04-11
1867	EDMONTON CITY CENTRE A	AB	53.57	-113.52	1953-01-01	2005-01-20
1879	ELNORA SALEM	AB	52.03	-112.13	1988-08-01	2001-04-18
1881	FABYAN	AB	52.97	-111.0	1966-08-01	2023-03-04
1883	FORESTBURG	AB	52.47	-112.13	1966-02-07	1969-04-30
1884	FORESTBURG PLANT SITE	AB	52.47	-112.12	1967-08-01	2020-06-29
1892	GLENEVIS	AB	53.8	-114.52	1966-06-14	1987-12-31
1895	GWYNNE	AB	52.95	-113.18	1975-12-01	2005-03-31
1896	HACKETT	AB	52.17	-112.62	1984-06-15	2007-10-20
1914	KITSCOTY	AB	53.35	-110.33	1958-10-01	1974-06-30
1920	LLOYDMINSTER A	AB	53.31	-110.07	1982-04-01	2012-12-31
1921	LLOYDMINSTER NORTH	AB	53.28	-110.0	1967-05-01	1976-07-31
1922	LLOYDMINSTER SEFTON PARK	AB	53.08	-110.17	1961-07-01	1973-05-31
1928	MARWAYNE	AB	53.6	-110.23	1961-07-01	1980-10-31
1940	NEWBROOK	AB	54.32	-112.95	1954-06-01	1979-10-31
1941	NEWBROOK NORTH	AB	54.42	-112.8	1970-05-01	1972-02-25
1944	OLIVER TREE NURSERY	AB	53.65	-113.37	1972-05-15	2005-11-30
1945	ONOWAY	AB	53.7	-114.2	1970-10-24	1975-08-31
1949	PINE RIDGE C3	AB	54.08	-112.27	1979-04-01	1982-11-30
1954	PRAIRIE CREEK RS	AB	52.25	-115.3	1967-05-19	1984-10-31
1959	RICINUS	AB	52.08	-115.0	1983-07-12	1987-09-30
1961	ROCKY MTN HOUSE	AB	52.38	-114.92	1953-01-01	1978-01-31
1962	ROCKY MTN HOUSE A	AB	52.43	-114.92	1978-02-01	1994-03-31
1964	ROCKY RAPIDS	AB	53.32	-114.92	1967-05-08	1967-07-31
1965	ST VINCENT SOUTHEAST	AB	54.12	-111.22	1985-08-01	1987-09-30
1966	RYLEY	AB	53.25	-112.45	1951-01-01	1954-12-31
1969	ST VINCENT	AB	54.15	-111.27	1980-07-08	1980-09-30
1970	SEDALIA	AB	51.67	-110.55	1970-06-01	1974-05-31
1971	SEDALIA EAST	AB	51.65	-110.55	1974-05-01	1997-02-12
1973	SEDGEWICK	AB	52.88	-111.7	1913-10-01	1977-08-31
1974	SEDGEWICK TOWN	AB	52.78	-111.7	1987-11-09	2016-08-21
1979	SPRUCE GROVE	AB	53.55	-113.9	1990-08-08	1991-01-31
1980	STETTLER NORTH	AB	52.33	-112.72	1977-07-01	2001-08-15
1981	STETTLER	AB	52.3	-112.7	1918-09-01	1977-06-30
1984	SULLIVAN LAKE	AB	52.05	-111.95	1971-11-01	2007-09-30
1987	THORHILD	AB	54.15	-113.12	1952-06-01	1960-10-31
1988	THORHILD VILLAGE	AB	54.17	-113.12	1980-08-05	1981-11-30
1989	THORSBY	AB	53.22	-114.05	1932-02-01	1968-10-31
2002	VIKING	AB	53.1	-111.78	1922-05-01	1997-08-31
2003	VIKING NORTH	AB	53.22	-111.72	1969-05-01	1974-10-31
2024	OLDS CLARKE	AB	51.73	-114.1	1990-11-07	1991-11-30
2025	THREE HILLS SOUTH	AB	51.68	-113.31	1981-06-23	2008-02-29
2026	KEYSTONE LO	AB	51.37	-114.78	1975-07-01	1992-06-05
2027	OLDS ERICKSON	AB	51.78	-114.2	1988-07-01	1991-07-31
2036	ALIX	AB	52.38	-113.17	1905-08-01	1951-09-30
2037	ALIX	AB	52.37	-113.3	1970-07-01	1973-09-30
2046	BIG STONE	AB	51.17	-111.2	1982-05-12	2000-01-31
2047	BIG VALLEY	AB	52.03	-112.75	1970-05-22	1986-11-30
2048	BIG VALLEY WEST	AB	52.03	-112.97	1980-11-01	1983-03-31
2049	BINDLOSS	AB	50.68	-110.17	1948-05-14	1959-09-30
2050	BINDLOSS EAST	AB	50.89	-110.2	1980-08-12	2008-02-29
2055	BLUFFTON	AB	52.75	-114.28	1963-06-01	1984-05-31
2058	BUFFALO	AB	50.93	-110.93	1982-06-01	1983-07-31
2068	CRAIGMYLE	AB	51.77	-112.28	1954-01-01	2018-09-27
2069	CREMONA	AB	51.55	-114.48	1980-07-23	1980-07-31
2081	DUCHESS	AB	50.73	-111.9	1963-07-01	1979-01-31
2085	ELNORA	AB	51.96	-113.19	1961-07-01	2003-10-31
2086	EMPRESS	AB	50.96	-110.01	1914-11-01	2006-03-31
2087	EMPRESS DOT	AB	50.95	-110.02	1966-11-01	1969-12-31
2094	HOMESTEAD CREEK	AB	51.22	-112.1	1975-05-22	1976-03-31
2098	HUSSAR	AB	51.18	-112.58	1947-05-01	1961-06-30
2099	HUTTON EXP ST	AB	51.02	-111.83	1955-01-01	1958-12-31
2100	HUXLEY	AB	51.91	-113.43	1966-05-19	2003-12-31
2101	HUXLEY EAST	AB	51.95	-112.95	1970-05-25	1980-06-26
2102	IDDESLEIGH	AB	50.74	-111.32	1982-06-01	2008-03-31
2107	LESLIEVILLE CDA EPF	AB	52.4	-114.68	1951-01-01	1965-01-31
2108	LOBSTICK AUBUCHON	AB	52.52	-114.73	1989-06-01	2006-04-30
2110	OYEN AIRPORT	AB	51.33	-110.48	1980-10-01	1981-10-31
2118	MOUND	AB	51.68	-114.52	1952-08-01	1954-08-11
2120	OLDS	AB	51.78	-114.1	1914-04-01	2015-06-18
2121	OYEN	AB	51.45	-110.48	1912-04-01	1959-08-31
2122	OYEN CAPPON	AB	51.17	-110.52	1974-01-17	2013-05-01
2123	OYEN CARA	AB	51.35	-110.47	1988-08-01	2014-12-16
2125	PINE LAKE NORTH	AB	52.2	-113.48	1981-06-01	1992-11-30
2128	PINE LAKE	AB	52.17	-113.5	1960-11-01	1981-04-30
2130	PRENTISS	AB	52.37	-113.67	1978-04-01	1981-05-31
2132	RED DEER	AB	52.28	-113.82	1904-07-01	1974-04-30
2133	RED DEER	AB	52.31	-113.79	1974-05-01	2013-03-30
2134	RED DEER A	AB	52.18	-113.89	1953-01-01	2014-04-30
2141	SIBBALD	AB	51.48	-110.25	1953-03-01	2006-12-31
2142	SIBBALD 2	AB	51.42	-110.15	1955-03-01	1968-07-31
2143	SIBBALD EAST	AB	51.43	-110.13	1980-08-12	1989-08-31
2144	SIBBALD WESTGARD	AB	51.42	-110.15	1988-08-01	2018-08-28
2156	THREE HILLS	AB	51.65	-113.3	1921-02-01	1978-02-28
2157	THREE HILLS EAST	AB	51.72	-113.23	1981-06-12	1988-04-30
2158	THREE HILLS RILLING IHD	AB	51.72	-113.53	1967-07-01	1969-12-31
2159	THREE HILLS TOWN	AB	51.7	-113.27	1969-04-01	1977-09-30
2160	TROCHU 2	AB	51.83	-113.22	1951-10-01	1975-09-30
2161	TROCHU EQUITY	AB	51.78	-113.2	1954-05-10	1989-08-31
2162	TROCHU TOWN	AB	51.83	-113.22	1980-06-23	2003-01-31
2163	TROCHU WIMBORNE	AB	51.85	-113.45	1950-08-09	1963-06-30
2168	CALGARY ELBOW VIEW	AB	51.02	-114.2	1966-08-27	1987-01-31
2182	ARMADA EXP ST	AB	50.4	-112.68	1955-01-01	1963-03-31
2192	BRAGG CREEK WEST	AB	50.97	-114.62	1975-05-08	1985-05-31
2193	BRANT	AB	50.45	-113.5	1983-04-14	1989-11-30
2201	CALDWELL	AB	49.17	-113.63	1910-11-08	1990-12-31
2202	CALGARY BEARSPAW	AB	51.1	-114.33	1965-05-02	1965-08-31
2203	CALGARY BELLEVIEW	AB	51.1	-114.15	1961-07-01	1966-08-31
2204	CALGARY GLENMORE DAM	AB	51.02	-114.1	1956-05-01	1979-09-30
2205	CALGARY INTL A	AB	51.11	-114.02	1953-01-01	2012-07-11
2213	CARMANGAY	AB	50.15	-112.78	1961-07-01	1965-02-28
2214	CARMANGAY EXP ST	AB	50.13	-113.1	1955-01-01	1963-02-28
2215	CARMANGAY EXP ST 2	AB	50.22	-113.02	1955-01-01	1963-02-28
2216	CARMANGAY EXP ST 3	AB	50.12	-113.33	1955-01-01	1963-03-31
2217	CARMANGAY PLAINFIELD	AB	50.22	-112.88	1965-11-01	1966-08-31
2218	CARMANGAY VILLAGE	AB	50.12	-113.11	1965-11-01	2008-01-31
2228	COALDALE	AB	49.73	-112.63	1957-01-01	1966-10-31
2229	COALDALE EXP ST	AB	49.72	-112.63	1955-01-01	1958-12-31
2231	CONNELLY CREEK	AB	49.62	-114.22	1978-10-01	2011-12-05
2235	COWLEY OLIN CREEK	AB	49.7	-114.07	1961-07-01	2001-06-30
2237	ENCHANT	AB	50.32	-112.38	1960-06-04	1963-03-31
2240	FOREMOST	AB	49.48	-111.45	1915-08-01	2005-03-31
2241	FOREMOST EAST	AB	49.45	-111.28	1970-05-01	1972-11-30
2242	FOREMOST EXP ST	AB	49.48	-111.45	1954-01-01	1960-07-31
2247	GLEICHEN	AB	50.88	-113.05	1903-01-01	2006-03-31
2253	HERRONTON	AB	50.62	-113.45	1965-06-10	1974-10-31
2254	HERRONTON EAST	AB	50.6	-113.35	1965-06-12	2005-03-31
2263	LETHBRIDGE A	AB	49.63	-112.8	1953-01-01	2008-07-28
2264	LETHBRIDGE BEGAMY	AB	49.73	-112.62	1966-07-01	1971-09-30
2268	LOMOND	AB	50.4	-112.38	1971-09-24	1971-12-31
2269	LOMOND EXP ST	AB	50.35	-112.68	1954-03-01	1959-12-31
2273	MEDICINE HAT A	AB	50.02	-110.72	1953-01-01	2008-07-24
2274	MEDICINE LODGE LO	AB	49.63	-110.32	1974-05-01	2007-11-30
2275	MILLARVILLE	AB	50.72	-114.37	1971-08-01	1993-03-31
2279	MOUNTAIN VIEW	AB	49.13	-113.63	1912-10-01	2006-03-31
2295	QUEENSTOWN	AB	50.61	-112.98	1961-08-01	2023-03-01
2305	SPY HILL	AB	51.2	-114.22	1990-08-15	1992-05-31
2312	SUFFIELD A	AB	50.27	-111.18	1953-01-01	2008-12-31
2313	SUFFIELD HAMLET	AB	50.22	-111.17	1980-08-11	1991-05-31
2314	SUFFIELD SOUTH	AB	50.07	-111.17	1985-06-01	1989-02-28
2320	UNIVERSITY OF CALGARY	AB	51.08	-114.13	1964-11-01	1990-06-30
2326	WHITLA	AB	49.87	-111.05	1917-04-01	1968-11-30
2342	KNAPPEN EXP ST	AB	49.07	-111.55	1955-01-01	1962-08-31
2343	KNIGHT LAKE	AB	49.22	-112.73	1981-12-01	1995-02-28
2347	MASINASIN	AB	49.13	-111.65	1980-12-01	2008-09-25
2348	MILK RIVER	AB	49.17	-111.53	1959-04-01	1980-04-30
2349	MILK RIVER EXP ST	AB	49.08	-112.05	1955-01-01	1963-03-31
2350	MILK R VERDIGRIS L	AB	49.32	-112.03	1960-06-01	1960-10-31
2351	MILK R VERDIGRIS L	AB	49.2	-112.03	1966-05-01	1969-11-30
2354	WARNER	AB	49.28	-112.2	1955-01-01	1966-10-31
2355	WARNER EAST	AB	49.27	-111.78	1963-09-13	1967-01-31
2356	WARNER WEST	AB	49.29	-112.41	1978-10-01	2004-09-30
2359	DAVID THOMPSON RESORT	AB	52.18	-116.47	1975-01-09	1975-07-31
2365	BIGHORN DAM	AB	52.32	-116.33	1969-10-01	2010-09-27
2366	BEAVER MINES	AB	49.47	-114.18	1912-11-01	2012-03-31
2368	BLUEHILL LO	AB	51.7	-115.22	1962-05-01	2011-09-16
2369	BOB CREEK	AB	49.88	-114.25	1971-10-01	1983-03-31
2374	CANMORE	AB	51.08	-115.35	1958-10-01	1958-10-31
2378	CHUNGO LO	AB	52.68	-116.7	1960-07-01	1964-08-31
2384	COWLEY TODD CREEK	AB	49.77	-114.27	1980-06-18	1982-02-22
2388	FORGET ME NOT LO	AB	50.75	-114.75	1962-07-01	1975-08-26
2393	HAILSTONE BUTTE LO	AB	50.17	-114.45	1961-07-01	2011-09-01
2409	LAKE LOUISE	AB	51.43	-116.22	1915-01-29	2007-11-30
2413	LUNDBRECK	AB	49.92	-114.13	1911-04-01	1958-09-30
2414	LYNDON	AB	50.02	-113.88	1910-11-01	1966-03-31
2418	MOUNTAIN AIRE LODGE	AB	51.65	-115.28	1973-11-15	1977-08-15
2419	MOUNTAIN VIEW BIRDSEYE	AB	49.12	-113.73	1916-09-01	1981-04-30
2420	MOUNT EISENHOWER	AB	51.25	-115.95	1960-05-01	1971-08-31
2421	MOUNT KIDD LO	AB	50.92	-115.17	1987-05-04	1992-08-15
2424	PARKER RIDGE	AB	52.2	-117.12	1974-12-01	1976-01-31
2425	PARKER RIDGE	AB	52.2	-117.13	1978-01-01	2007-11-29
2429	PORCUPINE LO	AB	49.9	-114.02	1971-06-14	2011-09-01
2430	PORCUPINE RS	AB	49.97	-114.12	1968-05-01	1971-06-11
2433	RED DEER RS	AB	51.67	-115.22	1958-07-01	1972-10-17
2436	SHUNDA RS	AB	52.48	-115.77	1958-07-16	1967-08-31
2438	SUGARLOAF LO	AB	49.95	-114.53	1961-07-01	2011-08-23
2441	TROUT CREEK WEST	AB	49.95	-113.97	1976-10-12	1977-04-30
2456	HOPE LAKE	AB	53.92	-114.8	1981-06-01	1988-06-30
2458	FORT ASSINIBOINE	AB	54.37	-114.92	1969-08-07	1997-11-30
2461	ALGAR LO	AB	56.12	-111.78	1959-04-17	2011-08-23
2477	BARRHEAD	AB	54.12	-114.37	1974-10-01	1976-11-04
2478	BEAVER LAKE RS	AB	54.75	-112.95	1980-06-01	1995-10-31
2486	BUCKTON LO	AB	57.87	-112.1	1965-06-01	2010-08-31
2488	DAPP	AB	54.35	-113.92	1969-09-13	1974-06-30
2493	CHISHOLM LO	AB	54.93	-114.03	1959-05-08	2011-09-01
2494	CHISHOLM MILLS	AB	54.92	-114.2	1973-07-10	1973-10-31
2495	CHRISTINA LO	AB	55.58	-111.85	1966-07-05	2002-05-18
2497	COAL VALLEY	AB	53.08	-116.82	1980-01-01	1986-03-31
2499	CONKLIN	AB	55.68	-111.1	1972-11-08	1975-03-31
2500	CONKLIN LO	AB	55.62	-111.18	1954-05-21	2011-09-01
2502	COWPAR LO	AB	55.83	-110.38	1957-07-01	2011-09-22
2509	EMBARRAS A	AB	58.2	-111.38	1953-01-01	1962-09-20
2523	GRANDE LO	AB	56.3	-112.22	1965-08-04	2011-09-28
2545	KAYBOB 3	AB	54.11	-116.63	1973-10-01	2011-04-05
2546	KEANE LO	AB	58.32	-110.28	1961-06-01	2004-07-31
2554	LODGEPOLE RS	AB	53.12	-115.32	1969-05-01	1969-09-07
2557	LUNNFORD	AB	54.07	-114.32	1970-04-01	1974-06-30
2561	MARTEN MOUNTAIN LO	AB	55.5	-114.7	1958-08-01	2011-09-21
2565	MEANOOK	AB	54.62	-113.35	1917-11-15	1976-05-31
2566	MEDICINE LODGE RS	AB	53.55	-117.0	1962-05-11	1972-06-30
2579	PINEDALE	AB	53.57	-116.1	1980-08-07	1983-10-31
2589	ROCHESTER NORTH	AB	54.45	-113.52	1970-05-01	1981-09-30
2590	ROCK ISLAND LAKE LO	AB	55.33	-113.47	1977-04-21	2011-09-01
2597	SANDY LAKE LO	AB	55.83	-113.67	1977-06-01	2011-09-22
2598	SANGUDO	AB	53.9	-114.87	1953-01-01	1966-07-31
2599	SANGUDO ROYDALE	AB	53.95	-114.95	1968-01-01	1972-11-30
2600	SANGUDO SOUTH	AB	53.8	-114.87	1966-06-14	1968-09-30
2602	SEBA LANGLEY	AB	53.47	-114.87	1977-08-17	1978-11-30
2604	SHINING BANK	AB	53.85	-115.97	1968-12-01	2009-10-01
2605	SHINING BANK RS	AB	53.81	-115.94	1967-05-16	2009-01-31
2606	SHOAL CREEK	AB	54.38	-115.02	1987-12-01	1989-04-26
2619	TAR ISLAND	AB	56.98	-111.45	1970-04-01	1984-06-30
2628	WANDERING RIVER RS	AB	55.2	-112.5	1962-05-03	2007-10-31
2630	WEST PADDLE	AB	54.0	-115.35	1969-09-16	1970-06-30
2642	DAVIDSON LAKE TOWER	AB	58.88	-113.22	1968-05-28	1990-08-14
2658	BEAVERLODGE CDA	AB	55.2	-119.4	1913-04-15	2007-05-31
2664	BLUEBERRY MTN CDA EPF	AB	55.93	-119.13	1955-03-10	1972-12-31
2665	BUFFALO HEAD PRAIRIE	AB	58.05	-116.27	1932-11-09	1959-09-30
2666	BUFFALO LO	AB	57.95	-116.22	1958-05-01	2011-09-29
2667	CADOTTE LO	AB	56.3	-116.43	1967-05-05	2011-09-23
2674	CHIPEWYAN LAKES LO	AB	57.0	-113.42	1967-06-01	2011-08-30
2691	ELMWORTH	AB	55.07	-119.67	1926-08-01	1953-04-30
2692	ELMWORTH CDA EPF	AB	55.05	-119.57	1967-10-01	1972-06-30
2693	ELMWORTH CDA EPF	AB	55.1	-119.75	1975-02-01	2008-06-04
2695	FAIRVIEW	AB	56.07	-118.38	1931-10-01	1991-12-31
2696	FAIRVIEW 2	AB	55.97	-118.5	1957-01-01	1960-08-31
2697	FAIRVIEW FSA	AB	56.07	-118.38	1956-09-01	1980-09-30
2698	FALHER	AB	55.73	-117.2	1948-12-01	1979-09-30
2702	FOOTNER LAKE HQ	AB	58.62	-117.15	1967-05-23	1969-09-30
2706	FORT VERMILION CDA	AB	58.38	-116.03	1908-07-01	1985-09-30
2707	FORT VERMILION	AB	58.38	-116.05	1963-03-11	1963-12-31
2708	FORT VERMILION RS	AB	58.4	-116.03	1962-05-09	1989-08-31
2711	GARDEN RIVER	AB	58.72	-113.9	1973-08-12	1974-03-31
2713	GRANDE CACHE MILNER	AB	54.0	-119.1	1976-12-01	1981-10-31
2715	GRANDE CACHE	AB	53.92	-118.87	1985-08-01	2005-04-23
2716	GRANDE CACHE RS	AB	53.9	-119.1	1972-04-17	1994-09-30
2718	GRANDE PRAIRIE A	AB	55.18	-118.89	1953-01-01	2013-09-11
2720	GUY	AB	55.55	-117.1	1981-02-01	1981-03-31
2725	HIGH LEVEL A	AB	58.52	-117.1	1967-06-24	1970-10-31
2726	HIGH LEVEL A	AB	58.62	-117.16	1970-10-01	2012-12-31
2727	HIGH LEVEL RS	AB	58.52	-117.1	1962-05-07	1979-10-31
2733	HYTHE	AB	55.3	-119.58	1962-09-14	1968-05-31
2741	KLEWI TOWER	AB	59.92	-113.93	1978-05-29	1990-08-13
2745	LAMBERT CREEK LO	AB	58.05	-114.15	1969-05-17	2011-09-30
2748	MANNING	AB	56.88	-117.7	1958-06-01	1960-06-30
2754	MEANDER RIVER RS	AB	59.12	-117.7	1974-11-01	1985-03-31
2755	MEEKWAP	AB	54.62	-116.67	1989-06-01	2011-09-01
2760	NORTH STAR	AB	56.83	-117.57	1973-05-24	1989-11-30
2766	PARSON LAKE TOWER	AB	59.88	-112.48	1968-06-01	1990-08-15
2780	PINE RS	AB	54.48	-116.98	1962-05-08	1965-09-30
