postalcode	closest_stationid	eff_from_dt	eff_to_dt
A0J1T0	6579	1993-05-01	1998-12-31
A0J1T0	6938	1999-01-01	2021-06-23
A0J1T0	50678	2021-06-24	2023-03-08
A0J1V0	6633	1953-01-01	1958-09-23
A0J1V0	6733	1958-09-24	1963-07-31
A0J1V0	6633	1963-08-01	1964-10-31
A0J1V0	6646	1964-11-01	1971-11-30
A0J1V0	6633	1971-12-01	1979-10-31
A0J1V0	6734	1979-11-01	1982-10-31
A0J1V0	6594	1982-11-01	1983-10-31
A0J1V0	6634	1983-11-01	1984-06-15
A0J1V0	6668	1984-06-16	2023-03-08
A0J4M0	6581	1953-01-01	1958-09-23
A0J4M0	6733	1958-09-24	1963-07-31
A0J4M0	6581	1963-08-01	1964-10-31
A0J4M0	6646	1964-11-01	1971-11-30
A0J4M0	6579	1971-12-01	1979-10-31
A0J4M0	6734	1979-11-01	1982-10-31
A0J4M0	6665	1982-11-01	1984-06-15
A0J4M0	6668	1984-06-16	1991-11-02
A0J4M0	6937	1991-11-03	1996-06-30
A0J4M0	6668	1996-07-01	2023-03-08
A0K1A0	6581	1953-01-01	1965-06-30
A0K1A0	6579	1965-07-01	1971-07-31
A0K1A0	6706	1971-08-01	1984-06-30
A0K1A0	6804	1984-07-01	1987-04-30
A0K1A0	6706	1987-05-01	1990-05-31
A0K1A0	6665	1990-06-01	1990-08-31
A0K1A0	6803	1990-09-01	2002-11-30
A0K1A0	6734	2002-12-01	2021-03-30
A0K1A0	51918	2021-03-31	2023-03-08
A0K1B0	6581	1953-01-01	1958-09-23
A0K1B0	6733	1958-09-24	1963-07-31
A0K1B0	6581	1963-08-01	1964-10-31
A0K1B0	6646	1964-11-01	1971-11-30
A0K1B0	6706	1971-12-01	1979-10-31
A0K1B0	6734	1979-11-01	1981-12-31
A0K1B0	6664	1982-01-01	1982-10-31
A0K1B0	6665	1982-11-01	1984-06-15
A0K1B0	6668	1984-06-16	2023-03-08
A0K1C0	6581	1953-01-01	1965-06-30
A0K1C0	6579	1965-07-01	1971-07-31
A0K1C0	6706	1971-08-01	1984-06-30
A0K1C0	6804	1984-07-01	1987-04-30
A0K1C0	6706	1987-05-01	1990-05-31
A0K1C0	6665	1990-06-01	1990-08-31
A0K1C0	6803	1990-09-01	1991-04-30
A0K1C0	6932	1991-05-01	1999-11-30
A0K1C0	6803	1999-12-01	2002-11-30
A0K1C0	6734	2002-12-01	2021-03-30
A0K1C0	6938	2021-03-31	2021-06-23
A0K1C0	6668	2021-06-24	2023-03-08
A0K1E0	6581	1953-01-01	1958-09-23
A0K1E0	6733	1958-09-24	1963-07-31
A0K1E0	6581	1963-08-01	1964-10-31
A0K1E0	6646	1964-11-01	1971-07-31
A0K1E0	6706	1971-08-01	1983-10-17
A0K1E0	6783	1983-10-18	2013-12-10
A0K1E0	51918	2013-12-11	2023-03-08
A0K1G0	6788	1953-01-01	1958-09-23
A0K1G0	6733	1958-09-24	1963-07-31
A0K1G0	6788	1963-08-01	1971-07-31
A0K1G0	6706	1971-08-01	1983-10-17
A0K1G0	6783	1983-10-18	2013-12-11
A0K1G0	51918	2013-12-12	2023-03-08
A0K1H0	6581	1953-01-01	1965-06-30
A0K1H0	6579	1965-07-01	1971-07-31
A0K1H0	6706	1971-08-01	1972-06-30
A0K1H0	6705	1972-07-01	1988-02-29
A0K1H0	6616	1988-03-01	1988-12-31
A0K1H0	6705	1989-01-01	1993-04-30
A0K1H0	6665	1993-05-01	1995-06-30
A0K1H0	6734	1995-07-01	1998-12-31
A0K1H0	6938	1999-01-01	2021-06-23
A0K1H0	6668	2021-06-24	2023-03-08
A0K1J0	6581	1953-01-01	1958-09-23
A0K1J0	6733	1958-09-24	1963-07-31
A0K1J0	6581	1963-08-01	1964-10-31
A0K1J0	6646	1964-11-01	1971-07-31
A0K1J0	6706	1971-08-01	1990-05-31
A0K1J0	6668	1990-06-01	1991-04-30
A0K1J0	6932	1991-05-01	1999-11-30
A0K1J0	6668	1999-12-01	2023-03-08
A0K1K0	6740	1953-01-01	1967-05-31
A0K1K0	6741	1967-06-01	1967-11-09
A0K1K0	6740	1967-11-10	1972-06-30
A0K1K0	6705	1972-07-01	1993-04-30
A0K1K0	6734	1993-05-01	1998-12-31
A0K1K0	6938	1999-01-01	2021-06-23
A0K1K0	47607	2021-06-24	2023-03-08
A0K1L0	6581	1953-01-01	1965-06-30
A0K1L0	6579	1965-07-01	1971-07-31
A0K1L0	6706	1971-08-01	1984-06-30
A0K1L0	6804	1984-07-01	1987-04-30
A0K1L0	6706	1987-05-01	1990-05-31
A0K1L0	6665	1990-06-01	1990-08-31
A0K1L0	6803	1990-09-01	2002-11-30
A0K1L0	6734	2002-12-01	2021-03-30
A0K1L0	51918	2021-03-31	2023-03-08
A0K1M0	6581	1953-01-01	1965-06-30
A0K1M0	6579	1965-07-01	1971-07-31
A0K1M0	6706	1971-08-01	1984-06-30
A0K1M0	6804	1984-07-01	1987-04-30
A0K1M0	6706	1987-05-01	1990-05-31
A0K1M0	6665	1990-06-01	1990-08-31
A0K1M0	6803	1990-09-01	2002-11-30
A0K1M0	6734	2002-12-01	2021-03-30
A0K1M0	51918	2021-03-31	2023-03-08
A0K1N0	6788	1953-01-01	1958-09-23
A0K1N0	6733	1958-09-24	1963-07-31
A0K1N0	6788	1963-08-01	1971-07-31
A0K1N0	6706	1971-08-01	1983-10-17
A0K1N0	6783	1983-10-18	2013-12-11
A0K1N0	51918	2013-12-12	2023-03-08
A0K1P0	6581	1953-01-01	1965-06-30
A0K1P0	6579	1965-07-01	1971-07-31
A0K1P0	6706	1971-08-01	1979-10-31
A0K1P0	6734	1979-11-01	1981-12-31
A0K1P0	6664	1982-01-01	1982-10-31
A0K1P0	6665	1982-11-01	1988-02-29
A0K1P0	6616	1988-03-01	1988-12-31
A0K1P0	6665	1989-01-01	1995-06-30
A0K1P0	6734	1995-07-01	2021-03-30
A0K1P0	6668	2021-03-31	2023-03-08
A0K1R0	6633	1953-01-01	1958-09-23
A0K1R0	6733	1958-09-24	1963-07-31
A0K1R0	6633	1963-08-01	1964-10-31
A0K1R0	6646	1964-11-01	1971-11-30
A0K1R0	6706	1971-12-01	1979-10-31
A0K1R0	6734	1979-11-01	1981-12-31
A0K1R0	6664	1982-01-01	1982-10-31
A0K1R0	6665	1982-11-01	1984-06-15
A0K1R0	6668	1984-06-16	2023-03-08
A0K1S0	6581	1953-01-01	1958-09-23
A0K1S0	6733	1958-09-24	1963-07-31
A0K1S0	6581	1963-08-01	1964-10-31
A0K1S0	6646	1964-11-01	1971-11-30
A0K1S0	6706	1971-12-01	1979-10-31
A0K1S0	6734	1979-11-01	1982-10-31
A0K1S0	6665	1982-11-01	1984-06-15
A0K1S0	6668	1984-06-16	2023-03-08
A0K1T0	6581	1953-01-01	1958-09-23
A0K1T0	6733	1958-09-24	1963-07-31
A0K1T0	6581	1963-08-01	1964-10-31
A0K1T0	6646	1964-11-01	1971-07-31
A0K1T0	6706	1971-08-01	1983-10-17
A0K1T0	6783	1983-10-18	2013-12-11
A0K1T0	51918	2013-12-12	2023-03-08
A0K1V0	6788	1953-01-01	1973-05-31
A0K1V0	6706	1973-06-01	1983-10-17
A0K1V0	6783	1983-10-18	1984-06-30
A0K1V0	6804	1984-07-01	1987-04-30
A0K1V0	6783	1987-05-01	1990-08-31
A0K1V0	6803	1990-09-01	2002-11-30
A0K1V0	6783	2002-12-01	2013-12-10
A0K1V0	51918	2013-12-11	2023-03-08
A0K1W0	6581	1953-01-01	1965-06-30
A0K1W0	6579	1965-07-01	1971-07-31
A0K1W0	6706	1971-08-01	1984-06-30
A0K1W0	6804	1984-07-01	1987-04-30
A0K1W0	6706	1987-05-01	1990-05-31
A0K1W0	6665	1990-06-01	1990-08-31
A0K1W0	6803	1990-09-01	1991-04-30
A0K1W0	6932	1991-05-01	1999-11-30
A0K1W0	6803	1999-12-01	2002-11-30
A0K1W0	6734	2002-12-01	2021-03-30
A0K1W0	6938	2021-03-31	2021-06-23
A0K1W0	6668	2021-06-24	2023-03-08
A0K1X0	6581	1953-01-01	1958-09-23
A0K1X0	6733	1958-09-24	1963-07-31
A0K1X0	6581	1963-08-01	1964-10-31
A0K1X0	6646	1964-11-01	1971-07-31
A0K1X0	6706	1971-08-01	1984-06-15
A0K1X0	6668	1984-06-16	2023-03-08
A0K1Y0	6581	1953-01-01	1958-09-23
A0K1Y0	6733	1958-09-24	1963-07-31
A0K1Y0	6581	1963-08-01	1964-10-31
A0K1Y0	6646	1964-11-01	1971-07-31
A0K1Y0	6706	1971-08-01	1990-05-31
A0K1Y0	6668	1990-06-01	1991-04-30
A0K1Y0	6932	1991-05-01	1999-11-30
A0K1Y0	6668	1999-12-01	2023-03-08
A0K1Z0	6581	1953-01-01	1958-09-23
A0K1Z0	6733	1958-09-24	1963-07-31
A0K1Z0	6581	1963-08-01	1964-10-31
A0K1Z0	6646	1964-11-01	1971-07-31
A0K1Z0	6706	1971-08-01	1983-10-17
A0K1Z0	6783	1983-10-18	2013-12-10
A0K1Z0	51918	2013-12-11	2023-03-08
A0K2A0	6633	1953-01-01	1958-09-23
A0K2A0	6733	1958-09-24	1963-07-31
A0K2A0	6633	1963-08-01	1964-10-31
A0K2A0	6646	1964-11-01	1971-07-31
A0K2A0	6706	1971-08-01	1983-10-17
A0K2A0	6783	1983-10-18	2013-12-11
A0K2A0	51918	2013-12-12	2023-03-08
A0K2A1	6581	1953-01-01	1965-06-30
A0K2A1	6579	1965-07-01	1971-07-31
A0K2A1	6706	1971-08-01	1983-10-17
A0K2A1	6783	1983-10-18	1984-06-30
A0K2A1	6804	1984-07-01	1987-04-30
A0K2A1	6783	1987-05-01	1990-08-31
A0K2A1	6803	1990-09-01	2002-11-30
A0K2A1	6783	2002-12-01	2013-12-10
A0K2A1	51918	2013-12-11	2023-03-08
A0K2B0	6581	1953-01-01	1958-09-23
A0K2B0	6733	1958-09-24	1963-07-31
A0K2B0	6581	1963-08-01	1964-10-31
A0K2B0	6646	1964-11-01	1971-07-31
A0K2B0	6706	1971-08-01	1990-05-31
A0K2B0	6783	1990-06-01	1991-04-30
A0K2B0	6932	1991-05-01	1999-11-30
A0K2B0	6783	1999-12-01	2013-12-10
A0K2B0	51918	2013-12-11	2023-03-08
A0K2C0	6581	1953-01-01	1965-06-30
A0K2C0	6579	1965-07-01	1971-07-31
A0K2C0	6706	1971-08-01	1972-06-30
A0K2C0	6705	1972-07-01	1993-04-30
A0K2C0	6665	1993-05-01	1995-06-30
A0K2C0	6734	1995-07-01	1998-12-31
A0K2C0	6938	1999-01-01	2021-06-23
A0K2C0	6668	2021-06-24	2023-03-08
A0K2E0	6581	1953-01-01	1965-06-30
A0K2E0	6579	1965-07-01	1972-06-30
A0K2E0	6705	1972-07-01	1993-04-30
A0K2E0	6734	1993-05-01	1998-12-31
A0K2E0	6938	1999-01-01	2021-06-23
A0K2E0	50678	2021-06-24	2023-03-08
A0K2E4	6581	1953-01-01	1958-09-23
A0K2E4	6733	1958-09-24	1963-07-31
A0K2E4	6581	1963-08-01	1965-06-30
A0K2E4	6579	1965-07-01	1971-07-31
A0K2E4	6706	1971-08-01	1984-06-30
A0K2E4	6804	1984-07-01	1987-04-30
A0K2E4	6706	1987-05-01	1990-05-31
A0K2E4	6783	1990-06-01	1990-08-31
A0K2E4	6803	1990-09-01	2002-11-30
A0K2E4	6783	2002-12-01	2013-12-10
A0K2E4	51918	2013-12-11	2023-03-08
A0K2G0	6581	1953-01-01	1958-09-23
A0K2G0	6733	1958-09-24	1963-07-31
A0K2G0	6581	1963-08-01	1964-10-31
A0K2G0	6646	1964-11-01	1971-07-31
A0K2G0	6706	1971-08-01	1984-06-30
A0K2G0	6804	1984-07-01	1987-04-30
A0K2G0	6706	1987-05-01	1990-05-31
A0K2G0	6783	1990-06-01	1990-08-31
A0K2G0	6803	1990-09-01	2002-11-30
A0K2G0	6783	2002-12-01	2013-12-10
A0K2G0	51918	2013-12-11	2023-03-08
A0K2H0	6581	1953-01-01	1965-06-30
A0K2H0	6579	1965-07-01	1971-07-31
A0K2H0	6706	1971-08-01	1988-02-29
A0K2H0	6616	1988-03-01	1988-12-31
A0K2H0	6706	1989-01-01	1990-05-31
A0K2H0	6665	1990-06-01	1991-04-30
A0K2H0	6932	1991-05-01	1999-11-30
A0K2H0	6734	1999-12-01	2021-03-30
A0K2H0	6938	2021-03-31	2021-06-23
A0K2H0	6668	2021-06-24	2023-03-08
A0K2J0	6581	1953-01-01	1958-09-23
A0K2J0	6733	1958-09-24	1963-07-31
A0K2J0	6581	1963-08-01	1964-10-31
A0K2J0	6646	1964-11-01	1971-07-31
A0K2J0	6706	1971-08-01	1990-05-31
A0K2J0	6668	1990-06-01	1991-04-30
A0K2J0	6932	1991-05-01	1999-11-30
A0K2J0	6668	1999-12-01	2023-03-08
A0K2K0	6633	1953-01-01	1958-09-23
A0K2K0	6733	1958-09-24	1963-07-31
A0K2K0	6633	1963-08-01	1964-10-31
A0K2K0	6646	1964-11-01	1971-07-31
A0K2K0	6706	1971-08-01	1990-05-31
A0K2K0	6668	1990-06-01	1991-04-30
A0K2K0	6932	1991-05-01	1999-11-30
A0K2K0	6668	1999-12-01	2023-03-08
A0K2L0	6581	1953-01-01	1958-09-23
A0K2L0	6733	1958-09-24	1963-07-31
A0K2L0	6581	1963-08-01	1964-10-31
A0K2L0	6646	1964-11-01	1971-07-31
A0K2L0	6706	1971-08-01	1983-10-17
A0K2L0	6783	1983-10-18	2013-12-10
A0K2L0	51918	2013-12-11	2023-03-08
A0K2M0	6581	1953-01-01	1958-09-23
A0K2M0	6733	1958-09-24	1963-07-31
A0K2M0	6581	1963-08-01	1964-10-31
A0K2M0	6646	1964-11-01	1971-07-31
A0K2M0	6706	1971-08-01	1984-06-15
A0K2M0	6668	1984-06-16	1988-02-29
A0K2M0	6616	1988-03-01	1988-12-31
A0K2M0	6668	1989-01-01	2023-03-08
A0K2N0	6581	1953-01-01	1958-09-23
A0K2N0	6733	1958-09-24	1963-07-31
A0K2N0	6581	1963-08-01	1964-10-31
A0K2N0	6646	1964-11-01	1971-07-31
A0K2N0	6706	1971-08-01	1984-06-30
A0K2N0	6804	1984-07-01	1987-04-30
A0K2N0	6706	1987-05-01	1990-05-31
A0K2N0	6665	1990-06-01	1990-08-31
A0K2N0	6803	1990-09-01	2002-11-30
A0K2N0	6783	2002-12-01	2013-12-10
A0K2N0	51918	2013-12-11	2023-03-08
A0K2P0	6581	1953-01-01	1965-06-30
A0K2P0	6579	1965-07-01	1971-07-31
A0K2P0	6706	1971-08-01	1984-06-30
A0K2P0	6804	1984-07-01	1987-04-30
A0K2P0	6706	1987-05-01	1990-05-31
A0K2P0	6665	1990-06-01	1990-08-31
A0K2P0	6803	1990-09-01	2002-11-30
A0K2P0	6734	2002-12-01	2021-03-30
A0K2P0	51918	2021-03-31	2023-03-08
A0K2R0	6788	1953-01-01	1958-09-23
A0K2R0	6733	1958-09-24	1963-07-31
A0K2R0	6788	1963-08-01	1971-07-31
A0K2R0	6706	1971-08-01	1983-10-17
A0K2R0	6783	1983-10-18	2013-12-11
A0K2R0	51918	2013-12-12	2023-03-08
A0K2S0	6581	1953-01-01	1958-09-23
A0K2S0	6733	1958-09-24	1963-07-31
A0K2S0	6581	1963-08-01	1964-10-31
A0K2S0	6646	1964-11-01	1971-07-31
A0K2S0	6706	1971-08-01	1983-10-17
A0K2S0	6783	1983-10-18	2013-12-10
A0K2S0	51918	2013-12-11	2023-03-08
A0K2T0	6633	1953-01-01	1958-09-23
A0K2T0	6733	1958-09-24	1963-07-31
A0K2T0	6633	1963-08-01	1964-10-31
A0K2T0	6646	1964-11-01	1971-07-31
A0K2T0	6706	1971-08-01	1990-05-31
A0K2T0	6783	1990-06-01	1991-04-30
A0K2T0	6932	1991-05-01	1999-11-30
A0K2T0	6783	1999-12-01	2013-12-11
A0K2T0	51918	2013-12-12	2023-03-08
A0K2V0	6581	1953-01-01	1958-09-23
A0K2V0	6733	1958-09-24	1963-07-31
A0K2V0	6581	1963-08-01	1964-10-31
A0K2V0	6646	1964-11-01	1971-07-31
A0K2V0	6706	1971-08-01	1984-06-30
A0K2V0	6804	1984-07-01	1987-04-30
A0K2V0	6706	1987-05-01	1990-05-31
A0K2V0	6783	1990-06-01	1990-08-31
A0K2V0	6803	1990-09-01	2002-11-30
A0K2V0	6783	2002-12-01	2013-12-10
A0K2V0	51918	2013-12-11	2023-03-08
A0K2W0	6581	1953-01-01	1958-09-23
A0K2W0	6733	1958-09-24	1963-07-31
A0K2W0	6581	1963-08-01	1964-10-31
A0K2W0	6646	1964-11-01	1971-07-31
A0K2W0	6706	1971-08-01	1984-06-30
A0K2W0	6804	1984-07-01	1987-04-30
A0K2W0	6706	1987-05-01	1990-05-31
A0K2W0	6783	1990-06-01	1990-08-31
A0K2W0	6803	1990-09-01	2002-11-30
A0K2W0	6783	2002-12-01	2013-12-10
A0K2W0	51918	2013-12-11	2023-03-08
A0K2X0	6581	1953-01-01	1965-06-30
A0K2X0	6579	1965-07-01	1972-06-30
A0K2X0	6705	1972-07-01	1993-04-30
A0K2X0	6665	1993-05-01	1995-06-30
A0K2X0	6734	1995-07-01	1998-12-31
A0K2X0	6938	1999-01-01	2021-06-23
A0K2X0	6668	2021-06-24	2023-03-08
A0K2Y0	6581	1953-01-01	1965-06-30
A0K2Y0	6579	1965-07-01	1979-10-31
A0K2Y0	6734	1979-11-01	2021-03-30
A0K2Y0	50678	2021-03-31	2023-03-08
A0K2Z0	6581	1953-01-01	1958-09-23
A0K2Z0	6733	1958-09-24	1963-07-31
A0K2Z0	6581	1963-08-01	1964-10-31
A0K2Z0	6646	1964-11-01	1971-07-31
A0K2Z0	6706	1971-08-01	1981-12-31
A0K2Z0	6664	1982-01-01	1982-10-31
A0K2Z0	6665	1982-11-01	1988-02-29
A0K2Z0	6616	1988-03-01	1988-12-31
A0K2Z0	6665	1989-01-01	1995-06-30
A0K2Z0	6932	1995-07-01	1999-11-30
A0K2Z0	6734	1999-12-01	2021-03-30
A0K2Z0	6668	2021-03-31	2023-03-08
A0K3A0	6581	1953-01-01	1958-09-23
A0K3A0	6733	1958-09-24	1963-07-31
A0K3A0	6581	1963-08-01	1964-10-31
A0K3A0	6646	1964-11-01	1971-11-30
A0K3A0	6706	1971-12-01	1979-10-31
A0K3A0	6734	1979-11-01	1981-12-31
A0K3A0	6664	1982-01-01	1982-10-31
A0K3A0	6665	1982-11-01	1984-06-15
A0K3A0	6668	1984-06-16	2023-03-08
A0K3B0	6581	1953-01-01	1965-06-30
A0K3B0	6579	1965-07-01	1971-07-31
A0K3B0	6706	1971-08-01	1979-10-31
A0K3B0	6734	1979-11-01	1981-12-31
A0K3B0	6664	1982-01-01	1982-10-31
A0K3B0	6665	1982-11-01	1988-02-29
A0K3B0	6616	1988-03-01	1988-12-31
A0K3B0	6665	1989-01-01	1995-06-30
A0K3B0	6734	1995-07-01	2021-03-30
A0K3B0	6938	2021-03-31	2021-06-23
A0K3B0	6668	2021-06-24	2023-03-08
A0K3C0	6581	1953-01-01	1965-06-30
A0K3C0	6579	1965-07-01	1971-07-31
A0K3C0	6706	1971-08-01	1984-06-30
A0K3C0	6804	1984-07-01	1987-04-30
A0K3C0	6706	1987-05-01	1990-05-31
A0K3C0	6665	1990-06-01	1990-08-31
A0K3C0	6803	1990-09-01	2002-11-30
A0K3C0	6783	2002-12-01	2013-12-10
A0K3C0	51918	2013-12-11	2023-03-08
A0K3E0	6581	1953-01-01	1965-06-30
A0K3E0	6579	1965-07-01	1978-10-31
A0K3E0	6644	1978-11-01	1984-09-30
A0K3E0	5020	1984-10-01	1990-12-31
A0K3E0	6579	1991-01-01	2011-06-30
A0K3E0	6734	2011-07-01	2021-03-30
A0K3E0	50678	2021-03-31	2023-03-08
A0K3G0	6581	1953-01-01	1958-09-23
A0K3G0	6733	1958-09-24	1963-07-31
A0K3G0	6581	1963-08-01	1964-10-31
A0K3G0	6646	1964-11-01	1971-07-31
A0K3G0	6706	1971-08-01	1983-10-17
A0K3G0	6783	1983-10-18	2013-12-10
A0K3G0	51918	2013-12-11	2023-03-08
A0K3H0	6581	1953-01-01	1965-06-30
A0K3H0	6579	1965-07-01	1979-10-31
A0K3H0	6734	1979-11-01	1981-12-31
A0K3H0	6664	1982-01-01	1982-10-31
A0K3H0	6665	1982-11-01	1995-06-30
A0K3H0	6734	1995-07-01	2021-03-30
A0K3H0	6668	2021-03-31	2023-03-08
A0K3J0	6581	1953-01-01	1965-06-30
A0K3J0	6579	1965-07-01	1971-07-31
A0K3J0	6706	1971-08-01	1984-06-30
A0K3J0	6804	1984-07-01	1987-04-30
A0K3J0	6706	1987-05-01	1990-05-31
A0K3J0	6665	1990-06-01	1990-08-31
A0K3J0	6803	1990-09-01	2002-11-30
A0K3J0	6783	2002-12-01	2013-12-10
A0K3J0	51918	2013-12-11	2023-03-08
A0K3K0	6581	1953-01-01	1965-06-30
A0K3K0	6579	1965-07-01	1971-07-31
A0K3K0	6706	1971-08-01	1984-06-30
A0K3K0	6804	1984-07-01	1987-04-30
A0K3K0	6706	1987-05-01	1990-05-31
A0K3K0	6665	1990-06-01	1990-08-31
A0K3K0	6803	1990-09-01	2002-11-30
A0K3K0	6734	2002-12-01	2021-03-30
A0K3K0	51918	2021-03-31	2023-03-08
A0K3L0	6581	1953-01-01	1965-06-30
A0K3L0	6579	1965-07-01	1971-07-31
A0K3L0	6706	1971-08-01	1984-06-30
A0K3L0	6804	1984-07-01	1987-04-30
A0K3L0	6706	1987-05-01	1990-05-31
A0K3L0	6665	1990-06-01	1990-08-31
A0K3L0	6803	1990-09-01	2002-11-30
A0K3L0	6783	2002-12-01	2013-12-10
A0K3L0	51918	2013-12-11	2023-03-08
A0K3M0	6633	1953-01-01	1958-09-23
A0K3M0	6733	1958-09-24	1963-07-31
A0K3M0	6633	1963-08-01	1964-10-31
A0K3M0	6646	1964-11-01	1971-11-30
A0K3M0	6706	1971-12-01	1981-12-31
A0K3M0	6664	1982-01-01	1982-10-31
A0K3M0	6665	1982-11-01	1984-06-15
A0K3M0	6668	1984-06-16	2023-03-08
A0K3N0	6581	1953-01-01	1958-09-23
A0K3N0	6733	1958-09-24	1963-07-31
A0K3N0	6581	1963-08-01	1964-10-31
A0K3N0	6646	1964-11-01	1971-07-31
A0K3N0	6706	1971-08-01	1990-05-31
A0K3N0	6783	1990-06-01	1990-08-31
A0K3N0	6803	1990-09-01	1991-04-30
A0K3N0	6932	1991-05-01	1999-11-30
A0K3N0	6803	1999-12-01	2002-11-30
A0K3N0	6783	2002-12-01	2013-12-10
A0K3N0	51918	2013-12-11	2023-03-08
A0K3P0	6581	1953-01-01	1958-09-23
A0K3P0	6733	1958-09-24	1963-07-31
A0K3P0	6581	1963-08-01	1964-10-31
A0K3P0	6646	1964-11-01	1971-07-31
A0K3P0	6706	1971-08-01	1983-10-17
A0K3P0	6783	1983-10-18	2013-12-11
A0K3P0	51918	2013-12-12	2023-03-08
A0K3R0	6581	1953-01-01	1958-09-23
A0K3R0	6733	1958-09-24	1963-07-31
A0K3R0	6581	1963-08-01	1964-10-31
A0K3R0	6646	1964-11-01	1971-11-30
A0K3R0	6706	1971-12-01	1979-10-31
A0K3R0	6734	1979-11-01	1982-10-31
A0K3R0	6665	1982-11-01	1984-06-15
A0K3R0	6668	1984-06-16	2023-03-08
A0K3S0	6581	1953-01-01	1958-09-23
A0K3S0	6733	1958-09-24	1963-07-31
A0K3S0	6581	1963-08-01	1964-10-31
A0K3S0	6646	1964-11-01	1971-11-30
A0K3S0	6706	1971-12-01	1981-12-31
A0K3S0	6664	1982-01-01	1982-10-31
A0K3S0	6665	1982-11-01	1984-06-15
A0K3S0	6668	1984-06-16	2023-03-08
A0K3T0	6581	1953-01-01	1958-09-23
A0K3T0	6733	1958-09-24	1963-07-31
A0K3T0	6581	1963-08-01	1964-10-31
A0K3T0	6646	1964-11-01	1971-11-30
A0K3T0	6706	1971-12-01	1979-10-31
A0K3T0	6734	1979-11-01	1982-10-31
A0K3T0	6665	1982-11-01	1984-06-15
A0K3T0	6668	1984-06-16	2023-03-08
A0K3V0	6740	1953-01-01	1967-05-31
A0K3V0	6741	1967-06-01	1967-11-09
A0K3V0	6740	1967-11-10	1972-06-30
A0K3V0	6705	1972-07-01	1993-04-30
A0K3V0	6734	1993-05-01	1998-12-31
A0K3V0	6938	1999-01-01	2021-06-23
A0K3V0	47607	2021-06-24	2023-03-08
A0K3W0	6788	1953-01-01	1958-09-23
A0K3W0	6733	1958-09-24	1963-07-31
A0K3W0	6788	1963-08-01	1971-07-31
A0K3W0	6706	1971-08-01	1983-10-17
A0K3W0	6783	1983-10-18	2013-12-11
A0K3W0	51918	2013-12-12	2023-03-08
A0K3X0	6581	1953-01-01	1958-09-23
A0K3X0	6733	1958-09-24	1963-07-31
A0K3X0	6581	1963-08-01	1964-10-31
A0K3X0	6646	1964-11-01	1971-11-30
A0K3X0	6706	1971-12-01	1981-12-31
A0K3X0	6664	1982-01-01	1982-10-31
A0K3X0	6665	1982-11-01	1984-06-15
A0K3X0	6668	1984-06-16	2023-03-08
A0K3Y0	6788	1953-01-01	1958-09-23
A0K3Y0	6733	1958-09-24	1963-07-31
A0K3Y0	6788	1963-08-01	1971-07-31
A0K3Y0	6706	1971-08-01	1983-10-17
A0K3Y0	6783	1983-10-18	2013-12-11
A0K3Y0	51918	2013-12-12	2023-03-08
A0K3Z0	6581	1953-01-01	1965-06-30
A0K3Z0	6579	1965-07-01	1972-06-30
A0K3Z0	6705	1972-07-01	1993-04-30
A0K3Z0	6665	1993-05-01	1995-06-30
A0K3Z0	6734	1995-07-01	1998-12-31
A0K3Z0	6938	1999-01-01	2021-06-23
A0K3Z0	6668	2021-06-24	2023-03-08
A0K4A0	6581	1953-01-01	1965-06-30
A0K4A0	6579	1965-07-01	1971-07-31
A0K4A0	6706	1971-08-01	1984-06-30
A0K4A0	6804	1984-07-01	1987-04-30
A0K4A0	6706	1987-05-01	1990-05-31
A0K4A0	6665	1990-06-01	1990-08-31
A0K4A0	6803	1990-09-01	2002-11-30
A0K4A0	6734	2002-12-01	2021-03-30
A0K4A0	51918	2021-03-31	2023-03-08
A0K4B0	6581	1953-01-01	1965-06-30
A0K4B0	6579	1965-07-01	1972-06-30
A0K4B0	6705	1972-07-01	1978-10-31
A0K4B0	6644	1978-11-01	1979-10-31
A0K4B0	6734	1979-11-01	2021-03-30
A0K4B0	6938	2021-03-31	2021-06-23
A0K4B0	50678	2021-06-24	2023-03-08
A0K4C0	6581	1953-01-01	1958-09-23
A0K4C0	6733	1958-09-24	1963-07-31
A0K4C0	6581	1963-08-01	1964-10-31
A0K4C0	6646	1964-11-01	1971-11-30
A0K4C0	6579	1971-12-01	1979-10-31
A0K4C0	6734	1979-11-01	1982-10-31
A0K4C0	6665	1982-11-01	1995-06-30
A0K4C0	6734	1995-07-01	2021-03-30
A0K4C0	50678	2021-03-31	2023-03-08
A0K4E0	6581	1953-01-01	1958-09-23
A0K4E0	6733	1958-09-24	1963-07-31
A0K4E0	6581	1963-08-01	1964-10-31
A0K4E0	6646	1964-11-01	1971-07-31
A0K4E0	6706	1971-08-01	1983-10-17
A0K4E0	6783	1983-10-18	2013-12-10
A0K4E0	51918	2013-12-11	2023-03-08
A0K4G0	6581	1953-01-01	1958-09-23
A0K4G0	6733	1958-09-24	1963-07-31
A0K4G0	6581	1963-08-01	1965-06-30
A0K4G0	6579	1965-07-01	1971-07-31
A0K4G0	6706	1971-08-01	1984-06-30
A0K4G0	6804	1984-07-01	1987-04-30
A0K4G0	6706	1987-05-01	1990-05-31
A0K4G0	6783	1990-06-01	1990-08-31
A0K4G0	6803	1990-09-01	2002-11-30
